metric,value
entry_bp,-1.0000
target_bp,2.0000
all_month_minus1_percentile,30.3030
quarter_end_month_minus1_percentile,33.3333
non_quarter_end_month_minus1_percentile,28.7879
july_minus1_percentile,37.5000
last3m_avg_bp,1.4272
may_2026_monthly_basis_bp,4.2500
june_2026_monthly_basis_bp,0.2222
ar1_beta,0.6065
ar1_ols_t,7.5667
ar1_hac_t,4.2000
ar1_hac_p,<0.001
ar1_fitted_july_bp,0.2672
trailing3m_beta,0.7219
trailing3m_ols_t,7.6199
trailing3m_hac_t,6.6000
trailing3m_hac_p,<0.001
trailing3m_fitted_july_bp,1.1783
barclays_conservative_gsib_capacity_tn,3.9660
fed_eslr_release,https://www.federalreserve.gov/newsevents/pressreleases/bcreg20251125b.htm
